Date,Open,High,Low,Close,Adj Close,Volume
2022-11-29,81.300003,84.099998,76.099998,77.949997,75.949554,117037131
2022-11-30,76.800003,77.199997,74.099998,74.099998,72.198357,29921056
2022-12-01,73.599998,77.800003,72.599998,75.050003,73.123978,64056280
2022-12-02,75.150002,76.800003,74.199997,75.150002,73.221413,17394032
2022-12-05,75.900002,76.949997,71.400002,71.400002,69.567650,18116172
2022-12-06,70.500000,73.199997,68.449997,72.000000,70.152252,33248967
2022-12-07,72.400002,72.699997,70.150002,70.449997,68.642029,13041752
2022-12-08,70.400002,72.250000,70.099998,70.650002,68.836899,9807645
2022-12-09,71.000000,71.250000,67.150002,67.349998,65.621590,12421135
2022-12-12,66.500000,70.699997,66.000000,70.699997,68.885612,18964486
2022-12-13,72.400002,74.199997,71.699997,72.550003,70.688141,29250879
2022-12-14,72.550003,74.400002,71.099998,74.000000,72.100929,12567429
2022-12-15,73.500000,73.900002,72.150002,72.800003,70.931725,8970104
2022-12-16,71.800003,73.199997,69.500000,70.150002,68.349731,7915636
2022-12-19,70.699997,71.050003,68.650002,70.050003,68.252304,6550101
2022-12-20,70.500000,73.550003,70.199997,73.550003,71.662476,14079409
2022-12-21,75.050003,75.650002,69.900002,69.900002,68.106148,15449962
2022-12-22,70.500000,70.849998,66.449997,66.449997,64.744682,8020230
2022-12-23,66.449997,66.449997,63.150002,63.150002,61.529373,7499743
2022-12-26,61.500000,65.699997,60.200001,63.700001,62.065258,19245865
2022-12-27,64.449997,65.900002,62.849998,63.549999,61.919109,8866063
2022-12-28,65.500000,66.699997,65.250000,66.699997,64.988266,13819215
2022-12-29,67.949997,70.000000,66.099998,68.550003,66.790794,18565280
2022-12-30,69.699997,69.800003,67.650002,68.250000,66.498489,6622596
2023-01-02,68.250000,69.400002,67.800003,68.550003,66.790794,5203364
2023-01-03,69.199997,71.949997,68.750000,71.949997,70.103531,21672205
2023-01-04,73.550003,75.000000,72.349998,73.400002,71.516327,17255566
2023-01-05,74.150002,74.650002,71.099998,72.050003,70.200974,6983515
2023-01-06,73.650002,74.300003,71.400002,72.449997,70.590706,8186267
2023-01-09,74.000000,74.449997,71.800003,72.150002,70.298401,4675388
2023-01-10,72.199997,72.500000,69.949997,70.349998,68.544594,4668639
2023-01-11,70.900002,72.699997,70.349998,72.199997,70.347115,6309231
2023-01-12,72.699997,75.800003,72.300003,75.800003,73.854736,30422685
2023-01-13,77.800003,79.550003,77.199997,79.550003,77.508499,23634703
2023-01-16,81.300003,81.750000,76.300003,76.800003,74.829079,21961954
2023-01-17,76.800003,77.500000,73.500000,74.449997,72.539375,10587375
2023-01-18,76.500000,78.150002,76.199997,78.150002,76.144424,16306972
2023-01-19,78.099998,79.849998,77.050003,77.199997,75.218803,12203134
2023-01-20,77.699997,79.000000,76.599998,76.750000,74.780357,8218975
2023-01-23,77.550003,77.550003,76.000000,76.150002,74.195755,3657558
2023-01-24,76.099998,77.199997,75.250000,75.449997,73.513710,3555260
2023-01-25,76.000000,77.500000,75.099998,75.699997,73.757294,6912585
2023-01-27,76.500000,76.800003,71.949997,72.900002,71.029152,7990713
2023-01-30,73.000000,74.900002,71.400002,72.500000,70.639420,5743643
2023-01-31,73.199997,76.099998,72.400002,76.099998,74.147034,11721363
2023-02-01,77.900002,79.449997,72.300003,72.650002,70.785576,23016937
2023-02-02,73.000000,75.599998,73.000000,73.800003,71.906067,7695165
2023-02-03,74.599998,75.199997,71.099998,72.300003,70.444557,5977975
2023-02-06,72.750000,72.800003,70.300003,71.349998,69.518929,4082199
2023-02-07,73.099998,73.849998,71.550003,71.849998,70.006104,6924317
2023-02-08,72.500000,75.750000,71.000000,73.550003,71.662476,10476774
2023-02-09,73.550003,74.250000,71.849998,72.500000,70.639420,4784724
2023-02-10,72.449997,72.500000,71.500000,71.599998,69.762520,3393279
2023-02-13,71.000000,71.099998,69.000000,69.250000,67.472824,5530564
2023-02-14,69.199997,71.250000,67.449997,69.849998,68.057426,7080814
2023-02-15,70.000000,71.250000,69.349998,70.750000,68.934326,4186961
2023-02-16,71.000000,71.650002,70.150002,70.300003,68.495888,3320801
2023-02-17,70.199997,70.199997,68.000000,68.449997,66.693352,4849471
2023-02-20,68.699997,68.750000,66.099998,66.349998,64.647255,4067913
2023-02-21,66.349998,66.599998,64.250000,64.949997,63.283173,7580165
2023-02-22,63.900002,64.650002,61.799999,62.299999,60.701183,7458180
2023-02-23,62.299999,66.300003,61.549999,65.050003,63.380615,13077206
2023-02-24,67.000000,67.400002,62.849998,63.099998,61.480652,11041811
2023-02-27,62.900002,63.099998,61.099998,61.250000,59.678131,5107341
2023-02-28,61.450001,61.599998,57.150002,57.450001,55.975651,12672298
2023-03-01,57.500000,59.400002,56.049999,58.500000,56.998707,13757147
2023-03-02,62.000000,67.500000,61.799999,65.650002,63.965214,89921655
2023-03-03,66.900002,68.400002,64.650002,65.800003,64.111366,30085137
2023-03-06,66.000000,66.800003,65.150002,65.400002,63.721634,12489978
2023-03-08,65.250000,65.250000,63.799999,64.000000,62.357559,8326899
2023-03-09,64.150002,66.900002,63.849998,66.199997,64.501091,17999131
2023-03-10,65.900002,67.300003,64.750000,66.599998,64.890831,14685079
2023-03-13,66.500000,66.599998,63.599998,63.950001,62.308846,8235118
2023-03-14,63.049999,64.250000,62.049999,63.299999,61.675522,8885622
2023-03-15,64.000000,64.650002,62.200001,62.650002,61.042206,5484970
2023-03-16,62.400002,62.450001,60.299999,62.000000,60.408882,6603537
2023-03-17,64.000000,64.599998,62.650002,62.950001,61.334507,10572194
2023-03-20,63.750000,64.849998,63.650002,64.599998,62.942158,14611658
2023-03-21,65.599998,65.900002,63.500000,64.150002,62.503708,7922128
2023-03-22,64.099998,65.849998,63.700001,65.599998,63.916492,8352816
2023-03-23,65.300003,65.400002,64.500000,64.699997,63.039593,4343060
2023-03-24,65.699997,66.199997,64.250000,64.750000,63.088310,12029374
2023-03-27,65.349998,67.150002,63.700001,66.500000,64.793404,15200230
2023-03-28,66.699997,66.949997,64.599998,66.199997,64.501091,8572136
2023-03-29,65.949997,67.400002,65.199997,67.050003,65.329285,8258998
2023-03-31,67.900002,69.699997,67.300003,68.599998,66.839508,16282805
2023-04-03,70.000000,76.199997,70.000000,75.349998,73.416283,53179154
2023-04-05,76.650002,77.599998,74.099998,75.199997,73.270126,29291754
2023-04-06,74.250000,74.699997,73.099998,73.900002,73.739105,14057553
2023-04-10,74.099998,74.849998,72.849998,74.300003,74.138237,12834318
2023-04-11,74.400002,74.599998,73.250000,73.500000,73.339981,5899954
2023-04-12,73.699997,74.199997,72.500000,72.750000,72.591614,7311924
2023-04-13,73.199997,74.900002,73.099998,73.550003,73.389870,10190008
2023-04-17,73.449997,73.650002,72.550003,73.099998,72.940849,4423677
2023-04-18,73.250000,77.199997,73.250000,75.000000,74.836708,20665863
2023-04-19,75.400002,75.800003,74.099998,74.449997,74.287903,7903694
2023-04-20,74.900002,77.800003,74.400002,77.099998,76.932137,27529013
2023-04-21,78.949997,79.750000,76.699997,77.500000,77.331268,26606072
2023-04-24,77.500000,88.750000,76.800003,87.750000,87.558952,124186965
2023-04-25,88.699997,105.300003,88.349998,104.599998,104.372269,265783162
2023-04-26,108.050003,114.699997,100.250000,104.750000,104.521942,395800528
2023-04-27,104.949997,106.000000,100.750000,103.199997,102.975311,95231203
2023-04-28,104.250000,111.000000,103.800003,107.550003,107.315849,109682443
2023-05-02,112.500000,118.300003,112.500000,118.300003,118.042442,92737237
2023-05-03,122.500000,130.100006,121.550003,130.100006,129.816757,141043167
2023-05-04,135.750000,139.449997,124.300003,129.300003,129.018494,108787376
2023-05-05,128.500000,142.199997,126.650002,141.649994,141.341599,89930074
2023-05-08,142.000000,144.399994,134.600006,135.000000,134.706085,54717503
2023-05-09,135.000000,137.449997,128.250000,128.250000,127.970779,28750628
2023-05-10,123.199997,124.699997,121.849998,121.849998,121.584709,4063117
2023-05-11,120.500000,127.900002,119.000000,126.699997,126.424149,51443098
2023-05-12,127.400002,128.649994,120.400002,120.400002,120.137871,21812742
2023-05-15,123.500000,124.949997,117.099998,120.699997,120.437210,22629191
2023-05-16,121.849998,122.349998,116.699997,118.750000,118.491463,19515392
2023-05-17,119.500000,124.400002,119.150002,121.849998,121.584709,27047616
2023-05-18,123.699997,124.199997,119.150002,120.849998,120.586884,11139331
2023-05-19,121.699997,122.400002,115.199997,116.199997,115.947006,15519596
2023-05-22,116.500000,119.500000,113.849998,115.900002,115.647667,22110096
2023-05-23,116.250000,116.800003,112.650002,113.000000,112.753983,13243599
